sentence,sentiment,topic,sentence_seg
"thầy rất dễ thương , thân thiện .",positive,lecturer,"thầy rất dễ_thương , thân_thiện ."
thảo mai .,positive,others,thảo mai .
nên thời gian thực hành được phân công từ tiết 1 đến tiết 3 mỗi tuần là hơi ít .,negative,training_program,nên thời_gian thực_hành được phân_công từ tiết 1 đến tiết 3 mỗi tuần là hơi ít .
"giảng viên rất nhiệt tình , trình bày bài giảng hay , dễ hiểu .",positive,lecturer,"giảng_viên rất nhiệt_tình , trình_bày bài giảng hay , dễ hiểu ."
môn học rất hay .,positive,training_program,môn_học rất hay .
"thầy dạy rất hay , dễ hiểu , thân thiện với sinh viên .",positive,lecturer,"thầy dạy rất hay , dễ hiểu , thân_thiện với sinh_viên ."
"khác với thầy wzjwz286 dạy lý thuyết , thầy rất nhiệt tình trong việc giảng dạy của mình .",positive,lecturer,"khác với thầy wzjwz286 dạy lý_thuyết , thầy rất nhiệt_tình trong việc giảng_dạy của mình ."
"thầy dạy rất hay , cho mỗi nhóm lên thuyết trình , hỏi đáp giúp cả lớp hiểu bài .",positive,lecturer,"thầy dạy rất hay , cho mỗi nhóm lên thuyết_trình , hỏi_đáp giúp cả lớp hiểu bài ."
"thầy nhiệt tình , truyền đạt kỹ và rõ giúp sinh viên có hứng thú học tập .",positive,lecturer,"thầy nhiệt_tình , truyền_đạt kỹ và rõ giúp sinh_viên có hứng_thú học_tập ."
nên giảng kỹ hơn .,negative,lecturer,nên giảng kỹ hơn .
giáo viên truyền đạt tốt .,positive,lecturer,giáo_viên truyền_đạt tốt .
"cô dù đang mang bầu nhưng dạy rất nhiệt tình với học sinh , cô thường cho bài tập về nhà làm , cho sinh viên tính tự giác nhưng không tạo nhiều áp lực .",positive,lecturer,"cô dù đang mang bầu nhưng dạy rất nhiệt_tình với học_sinh , cô thường cho bài_tập về nhà làm , cho sinh_viên tính tự_giác nhưng không tạo nhiều áp_lực ."
dạy nhiệt huyết .,positive,lecturer,dạy nhiệt_huyết .
liên hệ kiến thức với chuyện thực tiễn .,positive,training_program,liên_hệ kiến_thức với chuyện thực_tiễn .
học kỳ 2 cần học riêng theo từng lớp để có được kết quả học tập tốt nhất .,negative,training_program,học_kỳ 2 cần học riêng theo từng_lớp để có được kết_quả học_tập tốt nhất .
"thầy dạy tận tâm , giúp đỡ học sinh , phương pháp giảng dạy đạt hiệu quả .",positive,lecturer,"thầy dạy tận_tâm , giúp_đỡ học_sinh , phương_pháp giảng_dạy đạt hiệu_quả ."
"thầy giảng bài hay , cuốn hút người nghe .",positive,lecturer,"thầy giảng bài hay , cuốn_hút người nghe ."
hy vọng ý kiến của em được xem xét !,negative,others,hy_vọng ý_kiến của em được xem_xét !
thầy nên cho nhiều bài tập hơn .,negative,lecturer,thầy nên cho nhiều bài_tập hơn .
"giảng viên nhiệt tình , tốt với sinh viên .",positive,lecturer,"giảng_viên nhiệt_tình , tốt với sinh_viên ."
giáo viên dạy quá giờ so với quy định .,negative,lecturer,giáo_viên dạy quá giờ so với quy_định .
thay vào đó nên là báo cáo đồ án .,negative,others,thay vào đó nên là báo_cáo đồ_án .
cô giảng rất hay và thu hút học sinh !,positive,lecturer,cô giảng rất hay và thu_hút học_sinh !
"lý thuyết thầy wzjwz22 giảng khá kỹ nên có chậm hơn so với quá trình thực hành , mong phòng đào tạo làm sao để cho quá trình học lý thuyết và học thực hành đi song song với nhau .",negative,training_program,"lý_thuyết thầy wzjwz22 giảng khá kỹ nên có chậm hơn so với quá_trình thực_hành , mong phòng đào_tạo làm_sao để cho quá_trình học lý_thuyết và học thực_hành đi song_song với nhau ."
cơ mà em nghĩ là thầy phải hơn cả tuổi ba em .,neutral,lecturer,cơ_mà em nghĩ là thầy phải hơn cả tuổi ba em .
"thầy dạy hay , nhiệt tình giúp đỡ sinh viên , dễ tính sẵn sàng giải đáp mọi thắc mắc của sinh viên .",positive,lecturer,"thầy dạy hay , nhiệt_tình giúp_đỡ sinh_viên , dễ_tính sẵn_sàng giải_đáp mọi thắc_mắc của sinh_viên ."
"tăng tiết học , 1 tuần học lý thuyết chỉ 2 tiết em thấy không đủ .",negative,training_program,"tăng tiết học , 1 tuần học lý_thuyết chỉ 2 tiết em thấy không đủ ."
"giảng viên dạy tốt , dễ hiểu , vui tính và rất nhiệt tình .",positive,lecturer,"giảng_viên dạy tốt , dễ hiểu , vui_tính và rất nhiệt_tình ."
"chủ động , tập trung vào sinh viên .",positive,lecturer,"chủ_động , tập_trung vào sinh_viên ."
"cô hỗ trợ tốt , nhiệt tình .",positive,others,"cô hỗ_trợ tốt , nhiệt_tình ."
"giảng viên dạy cực khó hiểu , khả năng truyền đạt kém , giảng dạy nhàm chán khiến sinh viên không có hứng thú khi tham gia học tập .",negative,lecturer,"giảng_viên dạy cực khó hiểu , khả_năng truyền_đạt kém , giảng_dạy nhàm_chán khiến sinh_viên không có hứng_thú khi tham_gia học_tập ."
giảng viên chưa tương tác với sinh viên trên các diễn đàn .,negative,lecturer,giảng_viên chưa tương_tác với sinh_viên trên các diễn_đàn .
cách thầy giảng em không nắm được nội dung tổng quát .,negative,lecturer,cách thầy giảng em không nắm được nội_dung tổng_quát .
thầy hơi khó tính quá .,negative,lecturer,thầy hơi khó_tính quá .
giảng viên cần cập nhập giáo trình và tài liệu môn học một cách đầy đủ hơn trước giờ lên lớp .,negative,lecturer,giảng_viên cần_cập nhập giáo_trình và tài_liệu môn_học một_cách đầy_đủ hơn trước giờ lên_lớp .
"cô giảng theo cách cô cũng tốt , tuy nhiên , lớp chỉ có một vài bạn học được , hay trả lời , những câu cô hỏi cả lớp có hiểu hay không , những bạn đó trả lời là hiểu vậy mà nhiều lúc cô đánh đồng cả lớp hiểu .",negative,lecturer,"cô giảng theo cách cô cũng tốt , tuy_nhiên , lớp chỉ có một_vài bạn học được , hay trả_lời , những câu cô hỏi cả lớp có hiểu hay không , những bạn đó trả_lời là hiểu vậy_mà nhiều lúc cô đánh_đồng cả lớp hiểu ."
chưa tận tâm với sinh viên .,negative,lecturer,chưa tận_tâm với sinh_viên .
học thầy được điểm cao .,positive,others,học thầy được điểm_cao .
có nhiều câu hỏi hay để sinh viên cùng thảo luận nhằm tìm ra nhiều phương pháp khác nhau để tiếp cận vấn đề .,positive,lecturer,có nhiều câu hỏi hay để sinh_viên cùng thảo_luận nhằm tìm ra nhiều phương_pháp khác nhau để tiếp_cận vấn_đề .
"nhiệt tình , tận tâm với sinh viên .",positive,lecturer,"nhiệt_tình , tận_tâm với sinh_viên ."
nhiệt tình và tận tâm .,positive,lecturer,nhiệt_tình và tận_tâm .
thêm tiết dạy thực hành .,negative,training_program,thêm tiết dạy thực_hành .
sự thân thiện giúp giảm căng thẳng trong buổi học .,positive,others,sự thân_thiện giúp giảm căng_thẳng trong buổi học .
"dạy hay , nhiệt huyết với nghề , chăm cho học sinh .",positive,lecturer,"dạy hay , nhiệt_huyết với nghề , chăm cho học_sinh ."
kiểm tra sát sao hơn tiến trình làm đồ án sinh viên cho phép sinh viên sáng tạo nhiều cách mới không quá gò bó .,negative,lecturer,kiểm_tra sát_sao hơn tiến_trình làm đồ_án sinh_viên cho phép sinh_viên sáng_tạo nhiều cách mới không quá gò_bó .
"tận tâm với nghề , rất quan tâm đến sinh viên , luôn giải đáp những thắc mắc trong thời gian nhanh nhất ( kể cả qua gmail ) .",positive,lecturer,"tận_tâm với nghề , rất quan_tâm đến sinh_viên , luôn giải_đáp những thắc_mắc trong thời_gian nhanh nhất ( kể_cả qua gmail ) ."
đưa ra các tiêu chí tính điểm một cách cụ thể .,negative,training_program,đưa ra các tiêu_chí tính điểm một_cách cụ_thể .
em rất mong muốn được học tiếp các môn liên quan như phân tích mã độc .,neutral,lecturer,em rất mong_muốn được học tiếp các môn liên_quan như phân_tích mã độc .
"giảng viên làm rõ được vấn đề , dạy những kiến thức thật sự thiết thực cho sinh viên , truyền đạt những kinh nghiệm thực tế trong quá trình giảng dạy .",positive,lecturer,"giảng_viên làm rõ được vấn_đề , dạy những kiến_thức thật_sự thiết_thực cho sinh_viên , truyền_đạt những kinh_nghiệm thực_tế trong quá_trình giảng_dạy ."
"giảng viên giảng dạy nhiệt tình , bài học sinh động , dễ hiểu .",positive,lecturer,"giảng_viên giảng_dạy nhiệt_tình , bài học_sinh_động , dễ hiểu ."
"giáo viên vào tiết đúng giờ , giảng dạy nhiệt tình , tận tâm .",positive,lecturer,"giáo_viên vào tiết đúng giờ , giảng_dạy nhiệt_tình , tận_tâm ."
"cập nhật các phương thức giảng dạy mới học sơ lược , tiến tới loại bỏ những môn không cần thiết cho ngành sau này nên có thêm các lớp kỹ năng giao tiếp .",negative,training_program,"cập_nhật các phương_thức giảng_dạy mới học sơ_lược , tiến tới loại_bỏ những môn không cần_thiết cho ngành sau_này nên có thêm các lớp kỹ_năng giao_tiếp ."
"giảng viên vui tính , dễ chịu .",positive,lecturer,"giảng_viên vui_tính , dễ_chịu ."
"nhiệt tình , có cách dạy hay .",positive,lecturer,"nhiệt_tình , có cách dạy hay ."
giảng viên dạy còn hơi nhanh và chưa quan tâm nhiều đến sinh viên .,negative,lecturer,giảng_viên dạy còn hơi nhanh và chưa quan_tâm nhiều đến sinh_viên .
"thầy dạy hay , vui vẻ , rất hài lòng .",positive,lecturer,"thầy dạy hay , vui_vẻ , rất hài_lòng ."
giảng viên nhiệt tình giảng lại nhiều lần một vấn đề khó tiếp thu .,positive,lecturer,giảng_viên nhiệt_tình giảng lại nhiều lần một vấn_đề khó tiếp_thu .
phương pháp giảng dạy rất tiên tiến .,positive,lecturer,phương_pháp giảng_dạy rất tiên_tiến .
"cập nhật kiến thức thực tế , giải đáp mọi thắc mắc .",positive,training_program,"cập_nhật kiến_thức thực_tế , giải_đáp mọi thắc_mắc ."
nên đổi giáo trình .,negative,training_program,nên đổi giáo_trình .
"dễ hiểu , nhiệt tình .",positive,lecturer,"dễ hiểu , nhiệt_tình ."
"giảng viên không cung cấp tài liệu cho sinh viên , khả năng truyền đạt của giảng viên chưa tốt .",positive,lecturer,"giảng_viên không cung_cấp tài_liệu cho sinh_viên , khả_năng truyền_đạt của giảng_viên chưa tốt ."
cần thực hành nhiều lên .,negative,training_program,cần thực_hành nhiều lên .
không có colonsmile .,neutral,others,không có colonsmile .
"cô xinh , dạy tốt .",positive,training_program,"cô xinh , dạy tốt ."
giảng dạy thờ ơ .,negative,lecturer,giảng_dạy thờ_ơ .
bài tập lớn trong slide tiếng anh gây khó khăn cho sinh viên .,negative,training_program,bài_tập lớn trong slide tiếng anh gây khó_khăn cho sinh_viên .
"rất tốt , rất nhiệt tình , chu đáo .",positive,lecturer,"rất tốt , rất nhiệt_tình , chu_đáo ."
em cảm ơn ?,neutral,others,em cảm_ơn ?
giáo viên rất nhiệt tình và tâm huyết .,positive,lecturer,giáo_viên rất nhiệt_tình và tâm_huyết .
"thầy rất nhiệt tình , tâm huyết , giảng chi tiết , ví dụ điển hình tiêu biểu dễ tiếp thu .",positive,lecturer,"thầy rất nhiệt_tình , tâm_huyết , giảng chi_tiết , ví_dụ điển_hình tiêu_biểu dễ tiếp_thu ."
"thầy dạy dễ hiểu , luôn nhắc lại kiến thức cũ ở mỗi tiết .",positive,lecturer,"thầy dạy dễ hiểu , luôn nhắc lại kiến_thức cũ ở mỗi tiết ."
"nói chung , chắc cũng là luyện cho sinh viên tự học .",neutral,training_program,"nói_chung , chắc cũng là luyện cho sinh_viên tự học ."
thầy luôn muốn sinh viên giỏi hơn thông qua việc góp ý và nhận xét .,positive,lecturer,thầy luôn muốn sinh_viên giỏi hơn thông_qua việc góp_ý và nhận_xét .
thầy dạy hay nhất là về cuộc sống .,positive,lecturer,thầy dạy hay nhất là về cuộc_sống .
thầy dạy nhiêt tình .,positive,lecturer,thầy dạy nhiêt tình .
"thầy wzjwz246 rất nhiệt tình trong giảng dạy và luôn tham khảo thêm nhiều ý kiến của sinh viên , thường xuyên thảo luận trên diễn đàn môn học .",positive,lecturer,"thầy wzjwz246 rất nhiệt_tình trong giảng_dạy và luôn tham_khảo thêm nhiều ý_kiến của sinh_viên , thường_xuyên thảo_luận trên diễn_đàn môn_học ."
"quá trình giảng dạy không bám sát đồ án môn học , sinh viên phải tự tìm hiều qua nhiều mới báo cáo đồ án kịp tiến độ , không nên tổ chức thi giữa kỳ mà thay vào đó là các bài tập nhỏ cộng điểm cho sinh viên .",negative,training_program,"quá_trình giảng_dạy không bám sát đồ_án môn_học , sinh_viên phải tự tìm hiều qua nhiều mới báo_cáo đồ_án kịp tiến_độ , không nên tổ_chức thi giữa kỳ mà thay vào đó là các bài_tập nhỏ cộng điểm cho sinh_viên ."
cám ơn thầy đã quan tâm và chú ý .,positive,lecturer,cám_ơn thầy đã quan_tâm và chú_ý .
nên thi theo hình thức ra đề .,negative,training_program,nên thi theo hình_thức ra đề .
"thầy dạy rất nhiệt tình , hiệu quả .",positive,lecturer,"thầy dạy rất nhiệt_tình , hiệu_quả ."
cô rất nhiệt tình tuy nhiên cách cô giảng dạy đối với em khá khó hiểu .,negative,lecturer,cô rất nhiệt_tình tuy_nhiên cách cô giảng_dạy đối_với em khá khó hiểu .
giảng rất chi tiết .,positive,lecturer,giảng rất chi_tiết .
"không thấy giảng viên dạy thực hành buổi nào , lên lớp 2 tiết tâm sự với sinh viên .",negative,training_program,"không thấy giảng_viên dạy thực_hành buổi nào , lên_lớp 2 tiết tâm_sự với sinh_viên ."
giảng viên tạo sự thu hút đối với sinh viên .,positive,lecturer,giảng_viên tạo sự thu_hút đối_với sinh_viên .
thầy tránh phương pháp đưa công thức và đưa các ví dụ sinh động .,positive,lecturer,thầy tránh phương_pháp đưa công_thức và đưa các ví_dụ sinh_động .
"cô rất nghiêm , song rất nhiệt tình , rất công bằng , có thưởng có phạt , rất đồng tình với cách xét của cô , về bài giảng , rất sinh động , chèn các video thực tiễn , tư liệu đưa vào rất nhiều , rất cụ thể .",positive,lecturer,"cô rất nghiêm , song rất nhiệt_tình , rất công_bằng , có thưởng có phạt , rất đồng_tình với cách xét của cô , về bài giảng , rất sinh_động , chèn các video thực_tiễn , tư_liệu đưa vào rất nhiều , rất cụ_thể ."
"giáo viên trẻ trung , năng động , nhiệt tình , vui vẻ .",positive,lecturer,"giáo_viên trẻ_trung , năng_động , nhiệt_tình , vui_vẻ ."
cô dạy tốt colonlove .,positive,lecturer,cô dạy tốt colonlove .
giáo viên nhiệt tình hòa đồng .,positive,lecturer,giáo_viên nhiệt_tình hòa đồng .
"thầy vui tính , dễ gần , cởi mở , nhiệt tình , năng nổ .",positive,lecturer,"thầy vui_tính , dễ gần , cởi_mở , nhiệt_tình , năng_nổ ."
"thầy dạy dễ hiểu , ví dụ thực tế .",positive,lecturer,"thầy dạy dễ hiểu , ví_dụ thực_tế ."
buổi học cuối cùng trước đợt thi cuối kỳ chưa nói rõ về nội dung sẽ được thi .,negative,training_program,buổi học cuối_cùng trước đợt thi cuối kỳ chưa nói rõ về nội_dung sẽ được thi .
bài tập làm đầy đủ .,neutral,training_program,bài_tập làm đầy_đủ .
"nhiệt tình giảng dạy , hướng dẫn sinh viên .",positive,lecturer,"nhiệt_tình giảng_dạy , hướng_dẫn sinh_viên ."
"thầy nên đưa ra những ví dụ trong khi giảng bài , lý thuyết nhiều rất buồn ngủ khó tập trung được .",negative,lecturer,"thầy nên đưa ra những ví_dụ trong khi giảng bài , lý_thuyết nhiều rất buồn_ngủ khó tập_trung được ."
tập patin rất dễ .,positive,others,tập patin rất dễ .
"phương pháp giảng dạy chưa hợp lý , đa phần là đọc slide .",negative,lecturer,"phương_pháp giảng_dạy chưa hợp_lý , đa_phần là đọc slide ."
"đến ngày thầy ôn thi , cho em vài bài tập thì bọn em đã không biết làm nhưng thầy vẫn bắt bọn em giải rồi thầy mới giải .",negative,lecturer,"đến ngày thầy ôn thi , cho em vài bài_tập thì bọn em đã không biết làm nhưng thầy vẫn bắt bọn em giải rồi thầy mới giải ."
bài đồ án cuối kỳ thì phổ biến không rõ ràng phải làm gì để có điểm cao .,negative,training_program,bài đồ_án cuối kỳ thì phổ_biến không rõ_ràng phải làm gì để có điểm_cao .
"cách dạy thoải mái , nhẹ nhàng , nhiệt tình .",positive,lecturer,"cách dạy thoải_mái , nhẹ_nhàng , nhiệt_tình ."
trang thiết bị cho thực hành tốt hơn .,negative,facility,trang thiết_bị cho thực_hành tốt hơn .
giáo viên luôn dạy quá thời gian quy định trong khi chỉ có 3 tiết mà thầy dạy gần hết 5 tiết mới cho nghỉ .,negative,lecturer,giáo_viên luôn dạy quá thời_gian quy_định trong khi chỉ có 3 tiết mà thầy dạy gần hết 5 tiết mới cho nghỉ .
nghiêm .,neutral,lecturer,nghiêm .
anh wzjwz302 rất vui và nhiệt tình .,positive,lecturer,anh wzjwz302 rất vui và nhiệt_tình .
thầy rất nhiệt tình và tạo không khí vui vẻ trong lớp học .,positive,lecturer,thầy rất nhiệt_tình và tạo không_khí vui_vẻ trong lớp_học .
giảng viên trên lớp liên hệ thực tế quá nhiều .,negative,lecturer,giảng_viên trên lớp liên_hệ thực_tế quá nhiều .
giáo trình cụ thể hơn .,negative,lecturer,giáo_trình cụ_thể hơn .
em xin đề xuất thêm những buổi thực hành để nâng cao tầm hiệu quả của môn học .,negative,training_program,em xin đề_xuất thêm những buổi thực_hành để nâng cao tầm hiệu_quả của môn_học .
nâng cấp quạt trần và máy chiếu của phòng học !,negative,facility,nâng_cấp quạt_trần và máy_chiếu của phòng học !
cách truyền đạt chưa thuyết phục .,negative,lecturer,cách truyền_đạt chưa thuyết_phục .
đề nghị giảng viên sử dụng moodle để tăng chất lượng dạy học .,negative,lecturer,đề_nghị giảng_viên sử_dụng moodle để tăng chất_lượng dạy_học .
"cô nhiệt tình , giảng dạy tốt , quan tâm tất cả học sinh .",positive,lecturer,"cô nhiệt_tình , giảng_dạy tốt , quan_tâm tất_cả học_sinh ."
"tăng thời gian thực hành , sinh viên nên được làm việc với các thiết bị thực tế .",negative,training_program,"tăng thời_gian thực_hành , sinh_viên nên được làm_việc với các thiết_bị thực_tế ."
giảng viên nghỉ quá nhiều !,negative,lecturer,giảng_viên nghỉ quá nhiều !
giọng nói của giảng viên khó nghe .,negative,lecturer,giọng nói của giảng_viên khó nghe .
thầy cho ít dạng bài tập .,negative,lecturer,thầy cho ít dạng bài_tập .
cách nói của giảng viên khó nghe .,negative,lecturer,cách nói của giảng_viên khó nghe .
"kiến thức dễ hiểu , tiết học vui .",positive,training_program,"kiến_thức dễ hiểu , tiết học vui ."
mở thêm các lớp training chuyên ngành .,negative,training_program,mở thêm các lớp training chuyên_ngành .
giảng dạy còn một số chỗ hơi khó hiểu .,negative,lecturer,giảng_dạy còn một_số chỗ hơi khó hiểu .
cô giáo nhiệt tình trong lúc dạy .,positive,lecturer,cô_giáo nhiệt_tình trong lúc dạy .
thầy dạy bù vào thời gian không hợp lý .,negative,lecturer,thầy dạy bù vào thời_gian không hợp_lý .
ít bài tập về nhà .,negative,training_program,ít bài_tập về nhà .
"có ví dụ trực quan , sinh động .",positive,lecturer,"có ví_dụ trực_quan , sinh_động ."
"bài tập về code hơi ít , thực hành chưa đi đôi với lý thuyết .",negative,training_program,"bài_tập về code hơi ít , thực_hành chưa đi_đôi với lý_thuyết ."
giảng viên truyền đạt kiến thức rất hay và dễ tiếp thu .,positive,lecturer,giảng_viên truyền_đạt kiến_thức rất hay và dễ tiếp_thu .
cô dạy được .,neutral,lecturer,cô dạy được .
"sử dụng slide , máy chiếu .",negative,facility,"sử_dụng slide , máy_chiếu ."
"giảng viên tận tâm , nhiệt tình , dạy dễ hiểu .",positive,lecturer,"giảng_viên tận_tâm , nhiệt_tình , dạy dễ hiểu ."
dạy hơi khó hiểu và nói quá nhanh .,negative,lecturer,dạy hơi khó hiểu và nói quá nhanh .
thầy rất chịu khó lắng nghe ý kiến của sinh viên .,positive,lecturer,thầy rất chịu_khó lắng_nghe ý_kiến của sinh_viên .
"giáo viên dạy tân tâm , dễ hiểu .",positive,lecturer,"giáo_viên dạy tân tâm , dễ hiểu ."
"thầy giảng rất tốt , em hiểu gần như mọi thứ thầy dạy và áp dụng tốt nó .",positive,lecturer,"thầy giảng rất tốt , em hiểu gần như mọi thứ thầy dạy và áp_dụng tốt nó ."
chúng em gửi lời cám ơn đến thầy wzjwz213 !,positive,others,chúng em gửi lời cám_ơn đến thầy wzjwz213 !
"thời gian lên lớp sinh viên chúng em không được học gì từ thầy , chỉ toàn là tự tìm hiểu .",negative,training_program,"thời_gian lên_lớp sinh_viên chúng em không được học gì từ thầy , chỉ toàn là tự tìm_hiểu ."
cô dạy em rất buồn ngủ .,negative,lecturer,cô dạy em rất buồn_ngủ .
đánh giá môn học sơ sài và không công bằng .,negative,training_program,đánh_giá môn_học sơ_sài và không công_bằng .
cần có cách khác phù hợp hơn .,negative,lecturer,cần có cách khác phù_hợp hơn .
đảm bảo tốt giờ lên lớp .,positive,lecturer,đảm_bảo tốt giờ lên_lớp .
giảng dạy tích cực và dễ hiểu .,positive,lecturer,giảng_dạy tích_cực và dễ hiểu .
"cô rất nhiệt tình , vui tính , biết quan tâm học sinh .",positive,lecturer,"cô rất nhiệt_tình , vui_tính , biết quan_tâm học_sinh ."
"thầy dạy nhiều kiến thức mới , cập nhật từ thực tế .",positive,lecturer,"thầy dạy nhiều kiến_thức mới , cập_nhật từ thực_tế ."
"tuy nhiên , bài tập thực hành còn hơi đơn giản và chưa thực sự phù hợp với thực tế .",negative,training_program,"tuy_nhiên , bài_tập thực_hành còn hơi đơn_giản và chưa thực_sự phù_hợp với thực_tế ."
nói lý thuyết hay nhưng không biết áp dụng vào đâu .,negative,training_program,nói lý_thuyết hay nhưng không biết áp_dụng vào đâu .
"nên dạy đúng giáo án và thời khóa biểu , đừng kéo dài tới 1h30 mới cho ra , trong khi thời khóa biểu là 9h45 là hết .",negative,lecturer,"nên dạy đúng giáo_án và thời khóa biểu , đừng kéo_dài tới 1h30 mới cho ra , trong khi thời khóa biểu là 9h45 là hết ."
phòng thực hành quá chật và thiết bị cũng hạn chế về số lượng chưa đáp ứng được nhu cầu học tập .,negative,facility,phòng thực_hành quá chật và thiết_bị cũng hạn_chế về số_lượng chưa đáp_ứng được nhu_cầu học_tập .
em thấy nên tăng thêm nhiều bài tập kèm theo ôn lại khái quát lý thuyết rồi mới vào thực hành những phần lý thuyết đã học .,negative,training_program,em thấy nên tăng thêm nhiều bài_tập kèm theo ôn lại khái_quát lý_thuyết rồi mới vào thực_hành những phần lý_thuyết đã học .
"giảng viên theo sát chuyên cần lớp , giảng dễ hiểu .",positive,lecturer,"giảng_viên theo sát chuyên_cần lớp , giảng dễ hiểu ."
thật sự em rất mơ hồ về môn học này .,negative,training_program,thật_sự em rất mơ_hồ về môn_học này .
đề nghị giảng viên phải theo sát với thực tế hơn .,negative,lecturer,đề_nghị giảng_viên phải theo sát với thực_tế hơn .
cho ghi bài nhiều .,negative,training_program,cho ghi bài nhiều .
thầy bận lịch của trường nên một vài buổi học thầy không lên lớp được .,negative,lecturer,thầy bận lịch của trường nên một_vài buổi học thầy không lên_lớp được .
"thầy bao vui , nói chung chưa bao giờ em thấy học mà vui như thế colonsmile .",positive,lecturer,"thầy bao vui , nói_chung chưa bao_giờ em thấy học mà vui như thế colonsmile ."
thầy thường xuyên vắng mặt .,negative,lecturer,thầy thường_xuyên vắng_mặt .
thầy dạy rất nhiệt tình và dễ hiểu .,positive,lecturer,thầy dạy rất nhiệt_tình và dễ hiểu .
"giảng viên am hiểu sâu , giảng bài tận tâm .",positive,lecturer,"giảng_viên am_hiểu sâu , giảng bài tận_tâm ."
giảng viên luôn nhiệt tình với sinh viên .,positive,lecturer,giảng_viên luôn nhiệt_tình với sinh_viên .
"thầy giảng bài tận tình , dễ hiểu ( nếu hỏi riêng ) .",positive,lecturer,"thầy giảng bài tận_tình , dễ hiểu ( nếu hỏi riêng ) ."
"dạy có tâm , kỹ và nhiệt tình .",positive,lecturer,"dạy có tâm , kỹ và nhiệt_tình ."
"dạy hay , đúng trọng tâm .",positive,lecturer,"dạy hay , đúng trọng_tâm ."
giảng viên thường đưa những chuyện vui vào buổi học giúp sinh viên hứng thú trong giờ học hơn .,positive,lecturer,giảng_viên thường đưa những chuyện vui vào buổi học giúp sinh_viên hứng_thú trong giờ học hơn .
thường xuyên mời các bạn lên giải bài tập và giảng giải lại !,negative,lecturer,thường_xuyên mời các bạn lên giải bài_tập và giảng_giải lại !
nhiệt tình giúp đỡ hỗ trợ cho sinh viên hiểu bài tối đa .,positive,lecturer,nhiệt_tình giúp_đỡ hỗ_trợ cho sinh_viên hiểu bài tối_đa .
"giảng viên cần tập trung giảng dạy lợi ích liên quan thực tiễn , tránh gây nhàm chán và lặp lại quá nhiều kiến thức cũ .",negative,lecturer,"giảng_viên cần tập_trung giảng_dạy lợi_ích liên_quan thực_tiễn , tránh gây nhàm_chán và lặp lại quá nhiều kiến_thức cũ ."
"hay dễ hiểu , nhiệt tình .",positive,lecturer,"hay dễ hiểu , nhiệt_tình ."
"thầy dạy nhiệt tình , bài giảng hay , dễ gần !",positive,lecturer,"thầy dạy nhiệt_tình , bài giảng hay , dễ gần !"
béo quá không tốt cho sức khỏe .,negative,others,béo quá không tốt cho sức_khỏe .
"thầy dạy tốt , tận tình .",positive,lecturer,"thầy dạy tốt , tận_tình ."
cô cần quan tâm hơn tới sinh viên .,negative,lecturer,cô cần quan_tâm hơn tới sinh_viên .
giảng viên cần thay đổi cách giảng dạy .,negative,lecturer,giảng_viên cần thay_đổi cách giảng_dạy .
"thầy thân thiện , dạy dễ hiểu , phương pháp giảng dạy hay .",positive,lecturer,"thầy thân_thiện , dạy dễ hiểu , phương_pháp giảng_dạy hay ."
chưa thấy được sự cần thiết thực sự của môn học đối với ngành nghề cũng như cuộc sống sau này .,negative,others,chưa thấy được sự cần_thiết_thực_sự của môn_học đối_với ngành_nghề cũng như cuộc_sống sau_này .
"giảng viên rất tận tâm , giảng dạy kỹ lưỡng .",positive,lecturer,"giảng_viên rất tận_tâm , giảng_dạy kỹ_lưỡng ."
do học buổi trưa cả thầy và trò đều mệt .,negative,training_program,do học buổi trưa cả thầy và trò đều mệt .
"cô giáo nhiệt tình , vui tính , cố gắng truyền đạt cho sinh viên .",positive,lecturer,"cô_giáo nhiệt_tình , vui_tính , cố_gắng truyền_đạt cho sinh_viên ."
giảng viên dạy dễ hiểu tận tình .,positive,lecturer,giảng_viên dạy dễ hiểu tận_tình .
em nghĩ là nên giảm số giờ nói lý thuyết cho thêm giờ làm bài tập .,negative,training_program,em nghĩ là nên giảm số giờ nói lý_thuyết cho thêm giờ làm bài_tập .
cô rất nhiệt tình và dễ thương .,positive,lecturer,cô rất nhiệt_tình và dễ_thương .
"thầy dạy hay , nhiệt tình , dễ hiểu , tận tâm với sinh viên .",positive,lecturer,"thầy dạy hay , nhiệt_tình , dễ hiểu , tận_tâm với sinh_viên ."
"cuối cùng , em xin cảm ơn vì thầy fraction cô đã đọc đến hết .",neutral,others,"cuối_cùng , em xin cảm_ơn vì thầy fraction cô đã đọc đến hết ."
tuy nhiên học thầy em có hơi sợ vì thầy nổi tiếng khó khi chấm đồ án .,negative,lecturer,tuy_nhiên học thầy em có hơi sợ vì thầy nổi_tiếng khó khi chấm đồ_án .
"giảng viên nhiệt tình , hướng dẫn tận tâm cho sinh viên .",positive,lecturer,"giảng_viên nhiệt_tình , hướng_dẫn tận_tâm cho sinh_viên ."
"thầy chỉ vô điểm danh và quản lý lớp , người dạy là các sinh viên của một câu lạc bộ sinh viên đại học quốc gia .",negative,lecturer,"thầy chỉ vô điểm_danh và quản_lý lớp , người dạy là các sinh_viên của một câu lạc_bộ sinh_viên đại_học quốc_gia ."
