sentence,sentiment,topic,sentence_seg,gemini_sentiment,gemini_topic
"dễ hiểu với mọi thể loại học sinh yếu , trung bình , khá .",positive,lecturer,"dễ hiểu với mọi thể_loại học_sinh yếu , trung_bình , khá .",positive,lecturer
giảng viên tuyệt vời .,positive,lecturer,giảng_viên tuyệt_vời .,positive,lecturer
cô dạy rất hay và có nhiều bài tập giúp học sinh chủ động học tập .,positive,lecturer,cô dạy rất hay và có nhiều bài_tập giúp học_sinh chủ_động học_tập .,positive,lecturer
"giảng dạy nhiệt tình , đúng giờ .",positive,lecturer,"giảng_dạy nhiệt_tình , đúng giờ .",positive,lecturer
"giảng viên truyền đạt kinh nghiệm thực tế , đảm bảo giờ lên lớp .",positive,lecturer,"giảng_viên truyền_đạt kinh_nghiệm thực_tế , đảm_bảo giờ lên_lớp .",positive,lecturer
"giảng viên hướng dẫn chi tiết , nói qua một số điểm lưu ý trong ngành .",positive,lecturer,"giảng_viên hướng_dẫn chi_tiết , nói qua một_số điểm lưu_ý trong ngành .",positive,lecturer
mong cô luôn giữ được phong độ đó .,positive,lecturer,mong cô luôn giữ được phong_độ đó .,positive,lecturer
thầy đã giúp em nâng cao khả năng lập trình .,positive,lecturer,thầy đã giúp em nâng cao khả_năng lập_trình .,positive,lecturer
tận tâm và tận tình chỉ dạy của giáo viên .,positive,lecturer,tận_tâm và tận_tình chỉ dạy của giáo_viên .,positive,lecturer
thầy có kiến thức rất rộng .,positive,lecturer,thầy có kiến_thức rất rộng .,positive,lecturer
thầy dạy rất nhiệt tình !,positive,lecturer,thầy dạy rất nhiệt_tình !,positive,lecturer
kiến thức chuyên môn cao .,positive,lecturer,kiến_thức chuyên_môn cao .,positive,lecturer
"giảng viên vui tính , cởi mở , thỉnh thoảng cũng hay khó tính với vài học sinh lười trong lớp .",positive,lecturer,"giảng_viên vui_tính , cởi_mở , thỉnh_thoảng cũng hay khó_tính với vài học_sinh lười trong lớp .",positive,lecturer
giảng viên cho bài tập nhiều đầy đủ .,positive,lecturer,giảng_viên cho bài_tập nhiều đầy_đủ .,neutral,training_program
"nói hơi nhanh , cho bài tập thêm hơi khó .",positive,lecturer,"nói hơi nhanh , cho bài_tập thêm hơi khó .",negative,lecturer
"giảng chi tiết , giải bài tập nhiều .",positive,lecturer,"giảng chi_tiết , giải bài_tập nhiều .",positive,lecturer
"có kinh nghiệm , vui vẻ nhiệt tình .",positive,lecturer,"có kinh_nghiệm , vui_vẻ nhiệt_tình .",positive,lecturer
cô dạy giỏi chu đáo .,positive,lecturer,cô dạy giỏi chu_đáo .,positive,lecturer
giáo viên dạy hay .,positive,lecturer,giáo_viên dạy hay .,positive,lecturer
giữ vững nhiệt huyết với sinh viên .,positive,lecturer,giữ vững_nhiệt_huyết với sinh_viên .,positive,lecturer
"dạy nhiệt tình , vui vẻ , dễ tiếp thu .",positive,lecturer,"dạy nhiệt_tình , vui_vẻ , dễ tiếp_thu .",positive,lecturer
cô giáo nhiệt tình khi giảng bài cho sinh viên .,positive,lecturer,cô_giáo nhiệt_tình khi giảng bài cho sinh_viên .,positive,lecturer
"giảng viên rất nhiệt tình , vui tính , cách truyền đạt dễ tiếp thu .",positive,lecturer,"giảng_viên rất nhiệt_tình , vui_tính , cách truyền_đạt dễ tiếp_thu .",positive,lecturer
giảng viên nhiệt tình trong giảng dạy .,positive,lecturer,giảng_viên nhiệt_tình trong giảng_dạy .,positive,lecturer
"giảng dạy chi tiết , nhiệt tình .",positive,lecturer,"giảng_dạy chi_tiết , nhiệt_tình .",positive,lecturer
giảng viên truyền đạt dễ tiếp thu .,positive,lecturer,giảng_viên truyền_đạt dễ tiếp_thu .,positive,lecturer
"giảng viên tận tình , có khả năng truyền đạt tốt .",positive,lecturer,"giảng_viên tận_tình , có khả_năng truyền_đạt tốt .",positive,lecturer
"cô dạy hay , dễ hiểu , thân thiện với lớp .",positive,lecturer,"cô dạy hay , dễ hiểu , thân_thiện với lớp .",positive,lecturer
giảng viên rất nhiệt tình .,positive,lecturer,giảng_viên rất nhiệt_tình .,positive,lecturer
cho thảo luận nhóm khá hay .,positive,lecturer,cho thảo_luận nhóm khá hay .,positive,training_program
thầy vui tính !,positive,lecturer,thầy vui_tính !,positive,lecturer
"giảng viên vui vẻ , hoà đồng , nhiệt tình , giảng dạy tận tâm , thường xuyên nhắc nhở những sinh viên lười biếng , thường xuyên nghỉ học đến lớp học .",positive,lecturer,"giảng_viên vui_vẻ , hoà_đồng , nhiệt_tình , giảng_dạy tận_tâm , thường_xuyên nhắc_nhở những sinh_viên lười_biếng , thường_xuyên nghỉ học đến lớp_học .",positive,lecturer
giảng viên rất nhiệt tình và vui vẻ .,positive,lecturer,giảng_viên rất nhiệt_tình và vui_vẻ .,positive,lecturer
"nhiệt tình , hăng hái .",positive,lecturer,"nhiệt_tình , hăng_hái .",positive,lecturer
thầy có khả năng diễn đạt tốt giúp sinh viên dễ tiếp thu bài .,positive,lecturer,thầy có khả_năng diễn_đạt tốt giúp sinh_viên dễ tiếp_thu bài .,positive,lecturer
nhiệt tình giải đáp thắc mắc của sinh viên .,positive,lecturer,nhiệt_tình giải_đáp thắc_mắc của sinh_viên .,positive,lecturer
"nhiệt tình , dạy hay , dễ hiểu .",positive,lecturer,"nhiệt_tình , dạy hay , dễ hiểu .",positive,lecturer
"vui vẻ , giảng dạy vui vẻ .",positive,lecturer,"vui_vẻ , giảng_dạy vui_vẻ .",positive,lecturer
"thầy tâm huyết , vui vẻ nhiệt tình giải đáp thắc mắc của sinh viên .",positive,lecturer,"thầy tâm_huyết , vui_vẻ nhiệt_tình giải_đáp thắc_mắc của sinh_viên .",positive,lecturer
"dạy dễ hiểu , cung cấp đầy đủ tài liệu .",positive,lecturer,"dạy dễ hiểu , cung_cấp đầy_đủ tài_liệu .",positive,lecturer
"cô dạy rất dễ hiểu , điều chỉnh phù hợp với tốc độ tiếp thu của sinh viên .",positive,lecturer,"cô dạy rất dễ hiểu , điều_chỉnh phù_hợp với tốc_độ tiếp_thu của sinh_viên .",positive,lecturer
"giảng viên rất vui vẻ , thân thiện , nhiệt tình trong giảng dạy , chấm điểm hợp lý .",positive,lecturer,"giảng_viên rất vui_vẻ , thân_thiện , nhiệt_tình trong giảng_dạy , chấm điểm hợp_lý .",positive,lecturer
"thầy dạy chi tiết , giảng giải kỹ .",positive,lecturer,"thầy dạy chi_tiết , giảng_giải kỹ .",positive,lecturer
quá nhiệt tình .,positive,lecturer,quá nhiệt_tình .,positive,lecturer
"thầy cố gắng giảng bài cho mọi người hiểu , cố gắng dạy cho sinh viên hiểu từ gốc rễ .",positive,lecturer,"thầy cố_gắng giảng bài cho mọi người hiểu , cố_gắng dạy cho sinh_viên hiểu từ gốc_rễ .",positive,lecturer
giáo viên tâm lý .,positive,lecturer,giáo_viên tâm_lý .,positive,lecturer
"thầy day dễ hiểu , dễ nắm bắt được kiến thức , không dạy lan man .",positive,lecturer,"thầy day dễ hiểu , dễ nắm_bắt được kiến_thức , không dạy lan_man .",positive,lecturer
"cô dạy tận tâm , nhiệt tình , cho làm bài tập phù hợp để giúp sinh viên hiểu bài dễ dàng .",positive,lecturer,"cô dạy tận_tâm , nhiệt_tình , cho làm bài_tập phù_hợp để giúp sinh_viên hiểu bài dễ_dàng .",positive,lecturer
"giáo viên dạy nhiệt tình , đủ kiến thức .",positive,lecturer,"giáo_viên dạy nhiệt_tình , đủ kiến_thức .",positive,lecturer
"thầy giảng bài rất chi tiết , dễ hiểu .",positive,lecturer,"thầy giảng bài rất chi_tiết , dễ hiểu .",positive,lecturer
"thầy dạy tốt , giọng nói to rõ .",positive,lecturer,"thầy dạy tốt , giọng nói to rõ .",positive,lecturer
"thầy giảng dạy nhiệt tình , truyền đạt kỹ nội dung bài học .",positive,lecturer,"thầy giảng_dạy nhiệt_tình , truyền_đạt kỹ nội_dung bài_học .",positive,lecturer
"giảng viên cho bài tập hay , khó .",positive,lecturer,"giảng_viên cho bài_tập hay , khó .",positive,training_program
biết tạo không khí sôi nổi cho các bạn sinh viên hưng thú với môn học .,positive,lecturer,biết tạo không_khí sôi_nổi cho các bạn sinh_viên hưng thú với môn_học .,positive,lecturer
"cô giảng hay , vui , dễ hiểu .",positive,lecturer,"cô giảng hay , vui , dễ hiểu .",positive,lecturer
"giáo viên nhiệt tình , giúp đỡ học sinh rèn luyện tốt khả năng nói .",positive,lecturer,"giáo_viên nhiệt_tình , giúp_đỡ học_sinh rèn_luyện tốt khả_năng nói .",positive,lecturer
"thầy dạy hay , kiến thức thầy có rất nhiều .",positive,lecturer,"thầy dạy hay , kiến_thức thầy có rất nhiều .",positive,lecturer
cô hoàng toàn không dùng courses hay các phương tiện liên lạc thông báo .,positive,lecturer,cô hoàng toàn không dùng courses hay các phương_tiện liên_lạc thông_báo .,negative,lecturer
"sự kiên nhẫn và tận tình giảng , chỉ lỗi sai cho sinh viên khi thực hành .",positive,lecturer,"sự kiên_nhẫn và tận_tình giảng , chỉ lỗi sai cho sinh_viên khi thực_hành .",positive,lecturer
"thầy thường cho bài tập củng cố kiến thức , bài tập phong phú , bao quát kiến thức lý thuyết đã học .",positive,lecturer,"thầy thường cho bài_tập củng_cố kiến_thức , bài_tập phong_phú , bao_quát kiến_thức lý_thuyết đã học .",positive,training_program
giảng viên giảng hay .,positive,lecturer,giảng_viên giảng hay .,positive,lecturer
sử dụng giờ học trên lớp hiệu quả .,positive,lecturer,sử_dụng giờ học trên lớp hiệu_quả .,positive,lecturer
"nhiệt tình , truyền cảm hứng tò mò nghiên cứu , khích lệ tinh thần học tập .",positive,lecturer,"nhiệt_tình , truyền_cảm_hứng tò_mò nghiên_cứu , khích_lệ tinh_thần_học_tập .",positive,lecturer
"nhiệt tình , vui vẻ , hướng dẫn tốt .",positive,lecturer,"nhiệt_tình , vui_vẻ , hướng_dẫn tốt .",positive,lecturer
"nhiệt tình , dễ hiểu , dễ thương .",positive,lecturer,"nhiệt_tình , dễ hiểu , dễ_thương .",positive,lecturer
giảng dạy hiệu quả và dễ hiểu .,positive,lecturer,giảng_dạy hiệu_quả và dễ hiểu .,positive,lecturer
chuyên sâu .,positive,others,chuyên_sâu .,positive,training_program
tôi hài lòng .,positive,others,tôi hài_lòng .,positive,others
đáng để học tập .,positive,others,đáng để học_tập .,positive,training_program
em xin cám ơn !,positive,others,em xin cám_ơn !,positive,others
không có điều gì không hài lòng .,positive,others,không có điều gì không hài_lòng .,positive,others
học được nhiều kỹ năng mới và hay .,positive,others,học được nhiều kỹ_năng mới và hay .,positive,training_program
môn học rất thú vị .,positive,training_program,môn_học rất thú_vị .,positive,training_program
"bài tập rất hay và thiết thực , cho sinh viên nhiều lựa chọn .",positive,training_program,"bài_tập rất hay và thiết_thực , cho sinh_viên nhiều lựa_chọn .",positive,training_program
tính thực tế cũng cao so với việc thi lý thuyết lấy điểm .,positive,training_program,tính thực_tế cũng cao so với việc thi lý_thuyết lấy điểm .,positive,training_program
"thưa , em hoàn toàn hài lòng với chất lượng các buổi học của thầy và những kiến thức thầy mang lại thực sự bổ ích và phong phú .",positive,training_program,"thưa , em hoàn_toàn hài_lòng với chất_lượng các buổi học của thầy và những kiến_thức thầy mang lại thực_sự bổ_ích và phong_phú .",positive,lecturer
"cung cấp giáo trình đầy đủ , phiên bản có thể xem được trên máy tính pdf hoặc doc .",positive,training_program,"cung_cấp giáo_trình đầy_đủ , phiên_bản có_thể xem được trên máy_tính pdf hoặc doc .",neutral,training_program
giải đáp thắc mắc về bài tập cho sinh viên qua email nhiệt tình và nhanh chóng .,positive,training_program,giải_đáp thắc_mắc về bài_tập cho sinh_viên qua email nhiệt_tình và nhanh_chóng .,positive,lecturer
tạo được môi trường thảo luận sôi nổi .,positive,training_program,tạo được môi_trường thảo_luận sôi_nổi .,positive,lecturer
các bài tập thực hành vận dụng được kiến thức đã học trên lớp .,positive,training_program,các bài_tập thực_hành vận_dụng được kiến_thức đã học trên lớp .,positive,training_program
nâng cao kiến thức .,positive,training_program,nâng cao_kiến_thức .,positive,training_program
bài tập thực hành sát với lý thuyết .,positive,training_program,bài_tập thực_hành sát với lý_thuyết .,positive,training_program
"bài tập ví dụ nhiều , dễ tiếp thu .",positive,training_program,"bài_tập ví_dụ nhiều , dễ tiếp_thu .",positive,training_program
"chất lượng môn tốt , em không ý kiến .",positive,training_program,"chất_lượng môn tốt , em không ý_kiến .",positive,training_program
tính điểm thi đua các nhóm .,positive,training_program,tính điểm thi_đua các nhóm .,neutral,others
thực tiễn tốt .,positive,training_program,thực_tiễn tốt .,positive,training_program
